"id","player_api_id","player_name","player_fifa_api_id","overall_rating","gk_rating","appearances","leagues"
8534,39991,"Peguy Luyindula",12666,NA,NA,23,6
8535,214397,"Pele van Anholt",204332,71,51,48,8
8536,163605,"Pele",194020,76,97,25,9
8537,97490,"Pele",182626,75,149,9,7
8538,243827,"Pelle Jensen",204467,62,61,1,2
8539,574630,"Pelle van Amersfoort",225187,62,59,1,2
8540,172901,"Peniel Kokou Mlapa",193749,73,104,16,10
8541,30660,"Pepe Reina",24630,85,428,124,6
8542,25921,"Pepe",120533,85,145,90,8
8543,429224,"Pepe",213319,63,59,1,2
8544,40108,"Per Ciljan Skjelbred",152996,78,162,53,9
8545,24013,"Per Kroeldrup",41378,80,149,43,10
8546,35606,"Per Mertesacker",53612,87,133,119,9
8547,40093,"Per Nilsson",24932,NA,NA,39,4
8548,5247,"Perez Richi",112560,NA,NA,4,7
8549,39487,"Perparim Hetemaj",172233,76,143,69,10
8550,254975,"Perry Kitchen",202164,NA,NA,4,5
8551,265944,"Petar Brlek",233223,59,59,1,2
8552,193202,"Petar Sliskovic",198195,68,103,7,5
8553,30830,"Peter Crouch",51257,79,135,97,4
8554,9213,"Peter Czvitkovics",200585,70,57,6,6
8555,37866,"Peter Delorge",35491,65,130,25,9
8556,23918,"Peter Enckelman",33335,NA,NA,27,2
8557,39977,"Peter Franquart",163480,65,136,29,16
8558,72458,"Peter Grajciar",189799,63,134,5,8
8559,3512,"Peter Halmosi",53071,75,143,3,2
8560,33272,"Peter Jehle",18739,67,321,29,2
8561,26677,"Peter Jungschlaeger",170446,64,47,25,9
8562,33098,"Peter Kovacs",152618,70,112,4,4
8563,36412,"Peter Loevenkrands",109724,77,144,16,6
8564,33637,"Peter Luccin",4353,80,130,10,9
8565,32960,"Peter MacDonald",49221,61,114,10,5
8566,33676,"Peter Mollez",139756,61,307,1,1
8567,26545,"Peter Niemeyer",54018,NA,NA,43,11
8568,25550,"Peter Odemwingie",137671,83,132,45,10
8569,118896,"Peter Pawlett",189217,70,113,53,12
8570,12330,"Peter Pekarik",190854,76,134,52,5
8571,26665,"Peter Reekers",148818,64,138,2,2
8572,338979,"Peter Sladek",192804,62,69,2,2
8573,27508,"Peter van der Heyden",16005,72,129,27,12
8574,46130,"Peter van der Vlag",28157,61,312,1,2
8575,243473,"Peter van Ooijen",210488,68,53,10,8
8576,23806,"Peter Whittingham",162314,NA,NA,14,10
8577,26532,"Peter Wisgerhof",51358,74,134,53,8
8578,22418,"Peterson Pecanha",171805,74,365,22,2
8579,30789,"Petit",4083,79,146,42,7
8580,30859,"Petr Cech",48940,89,445,126,2
8581,10967,"Petr Jiracek",190873,76,130,20,12
8582,27315,"Petri Pasanen",102129,81,126,24,6
8583,535600,"Petros",222709,76,62,13,7
8584,281974,"Petrus Boumal Mayega",205713,57,51,4,3
8585,40341,"Petter Andersson",158933,NA,NA,22,10
8586,30826,"Petter Hansson",12766,77,144,44,6
8587,36786,"Phil Bardsley",163261,NA,NA,80,7
8588,23268,"Phil Jagielka",53914,82,269,110,8
8589,186137,"Phil Jones",194957,80,129,59,13
8590,22982,"Philip Chidi Onyemah",171690,64,123,6,5
8591,39081,"Philip Haglund",181307,69,133,7,9
8592,276700,"Philip Heise",211872,70,67,1,1
8593,30371,"Philip Neville",249,78,154,60,10
8594,570359,"Philipe Sampaio",224376,65,65,15,4
8595,134217,"Philipp Bargfrede",193311,74,146,58,10
8596,39898,"Philipp Boenig",104088,68,129,11,5
8597,30835,"Philipp Degen",52846,75,129,31,10
8598,33488,"Philipp Haastrup",116959,65,50,15,6
8599,38668,"Philipp Heerwagen",122718,71,348,17,2
8600,177941,"Philipp Hosiner",204690,73,69,5,5
8601,30894,"Philipp Lahm",121939,87,155,112,13
8602,488298,"Philipp Max",212187,70,57,13,3
8603,42237,"Philipp Muntwiler",176427,62,141,57,11
8604,664585,"Philipp Ochs",229701,63,49,4,5
8605,200962,"Philipp Wollscheid",198202,78,116,70,8
8606,135247,"Philipp Zulechner",216186,66,51,1,2
8607,37988,"Philippe Clement",8834,76,141,26,3
8608,184536,"Philippe Coutinho",189242,84,48,67,21
8609,26015,"Philippe Delaye",1647,69,136,0,3
8610,121080,"Philippe Koch",188772,66,126,96,12
8611,25792,"Philippe Montandon",47702,61,48,25,7
8612,30890,"Philippe Senderos",49966,81,117,47,13
8613,393232,"Phillip Roberts",203105,65,59,6,7
8614,30453,"Phillippe Mexes",41635,85,161,67,6
8615,553849,"Pierluigi Gollini",211515,70,345,13,2
8616,171472,"Pierre Bengtsson",181343,73,121,13,3
8617,466443,"Pierre Bourdin",223668,64,38,11,5
8618,25575,"Pierre Boya",182432,66,53,14,7
8619,27120,"Pierre de Wit",177464,69,127,16,8
8620,26121,"Pierre Ducasse",172199,70,144,16,9
8621,215823,"Pierre Sagna",201512,68,38,11,7
8622,25574,"Pierre Webo",142444,78,131,20,5
8623,23628,"Pierre Wome",146688,78,46,15,3
8624,35407,"Pierre-Alain Frau",9799,77,131,38,8
8625,150565,"Pierre-Emerick Aubameyang",188567,84,115,89,19
8626,266523,"Pierre-Emil Hoejbjerg",213648,74,50,12,9
8627,193530,"Pierre-Michel Lasogga",198196,78,111,41,4
8628,280134,"Pierre-Yves Ngawa",205578,66,49,17,12
8629,307017,"Pierre-Yves Polomat",208324,69,60,2,3
8630,310836,"Pierrick Capelle",209781,69,62,7,8
8631,185618,"Pierrick Cros",193161,70,344,19,4
8632,179893,"Pierrick Valdivia",188383,69,122,18,8
8633,37216,"Piet Velthuizen",177152,77,384,74,4
8634,465746,"Pieter Gerkens",216334,68,54,10,6
8635,166660,"Pieter Nys",184099,58,55,0,0
8636,36849,"Pieterjan Monteyne",49920,66,135,71,13
